Target Table,Target Column,Layer,Mapping Type,QlikView Expression,Snowflake SQL,Ultimate Sources,Needs Review,Notes
BUD_LOAD_TEMP3,"Amount2 - if(IsNull( Amount2B ),0, Amount2B ) asAmount2",intermediate,derived,"Amount2 - if(IsNull( Amount2B ),0, Amount2B ) asAmount2",Amount2 - CASE WHEN Amount2B IS NULL THEN 0 ELSE Amount2B END asAmount2,-,,
BUD_LOAD_TEMP3,"Quantity3 - if(IsNull( Quantity3B ),0 , Quantity3B ) asQuantity3",intermediate,derived,"Quantity3 - if(IsNull( Quantity3B ),0 , Quantity3B ) asQuantity3",Quantity3 - CASE WHEN Quantity3B IS NULL THEN 0 ELSE Quantity3B END asQuantity3,-,,
BUD_LOAD_TEMP3,"Amount 3 - if(IsNull( Amount 3B),0, Amount 3B) asAmount 3",intermediate,derived,"Amount 3 - if(IsNull( Amount 3B),0, Amount 3B) asAmount 3",Amount 3 - CASE WHEN Amount 3B IS NULL THEN 0 ELSE Amount 3B END asAmount 3,-,,
BUD_LOAD_TEMP3,"Quantity4 - if(IsNull( Quantity4B ),0 , Quantity4B ) asQuantity4",intermediate,derived,"Quantity4 - if(IsNull( Quantity4B ),0 , Quantity4B ) asQuantity4",Quantity4 - CASE WHEN Quantity4B IS NULL THEN 0 ELSE Quantity4B END asQuantity4,-,,
BUD_LOAD_TEMP3,"Amount 4 - if(IsNull( Amount 4B),0, Amount 4B) asAmount 4",intermediate,derived,"Amount 4 - if(IsNull( Amount 4B),0, Amount 4B) asAmount 4",Amount 4 - CASE WHEN Amount 4B IS NULL THEN 0 ELSE Amount 4B END asAmount 4,-,,
BUD_LOAD_TEMP3,"Quantity5 - if(IsNull( Quantity5B ),0 , Quantity5B ) asQuantity5",intermediate,derived,"Quantity5 - if(IsNull( Quantity5B ),0 , Quantity5B ) asQuantity5",Quantity5 - CASE WHEN Quantity5B IS NULL THEN 0 ELSE Quantity5B END asQuantity5,-,,
BUD_LOAD_TEMP3,"Amount 5 - if(IsNull( Amount 5B),0, Amount 5B) asAmount 5",intermediate,derived,"Amount 5 - if(IsNull( Amount 5B),0, Amount 5B) asAmount 5",Amount 5 - CASE WHEN Amount 5B IS NULL THEN 0 ELSE Amount 5B END asAmount 5,-,,
BUD_LOAD_TEMP3,"Gross profit - if(IsNull( Gross profit B),0, Gross profit B) as Gross profit",intermediate,derived,"Gross profit - if(IsNull( Gross profit B),0, Gross profit B) as Gross profit",Gross profit - CASE WHEN Gross profit B IS NULL THEN 0 ELSE Gross profit B END as Gross profit,-,,
BUD_LOAD_TEMP3,"Gross profit 1 - if(IsNull( gross profit 1B),0, gross profit 1B) as gross profit 1",intermediate,derived,"Gross profit 1 - if(IsNull( gross profit 1B),0, gross profit 1B) as gross profit 1",Gross profit 1 - CASE WHEN gross profit 1B IS NULL THEN 0 ELSE gross profit 1B END as gross profit 1,-,,
BUD_LOAD_TEMP3,"Gross profit 2 - if(IsNull( gross profit 2B),0, gross profit 2B) as gross profit 2",intermediate,derived,"Gross profit 2 - if(IsNull( gross profit 2B),0, gross profit 2B) as gross profit 2",Gross profit 2 - CASE WHEN gross profit 2B IS NULL THEN 0 ELSE gross profit 2B END as gross profit 2,-,,
BUD_LOAD_TEMP3,"Gross profit 3 - if(IsNull( gross profit 3B),0, gross profit 3B) as gross profit 3",intermediate,derived,"Gross profit 3 - if(IsNull( gross profit 3B),0, gross profit 3B) as gross profit 3",Gross profit 3 - CASE WHEN gross profit 3B IS NULL THEN 0 ELSE gross profit 3B END as gross profit 3,-,,
BUD_LOAD_TEMP3,"Gross profit 4 - if(IsNull( gross profit 4B),0, gross profit 4B) as gross profit 4",intermediate,derived,"Gross profit 4 - if(IsNull( gross profit 4B),0, gross profit 4B) as gross profit 4",Gross profit 4 - CASE WHEN gross profit 4B IS NULL THEN 0 ELSE gross profit 4B END as gross profit 4,-,,
BUD_LOAD_TEMP3,"Gross profit 5 - if(IsNull( gross profit 5B),0, gross profit 5B) as gross profit 5",intermediate,derived,"Gross profit 5 - if(IsNull( gross profit 5B),0, gross profit 5B) as gross profit 5",Gross profit 5 - CASE WHEN gross profit 5B IS NULL THEN 0 ELSE gross profit 5B END as gross profit 5,-,,
common__join26,category,intermediate,constant,'BUD','BUD',-,,
common__join26,1 as property flag,intermediate,derived,1 as property flag,1 as property flag,-,,
common__join26,year,intermediate,direct,year,year,-,,
common__join26,department code,intermediate,derived,department code,department code,-,,
common__join26,branch code,intermediate,derived,branch code,branch code,-,,
common__join26,management,intermediate,direct,management,management,-,,
common__join26,quantity,intermediate,direct,quantity,quantity,-,,
common__join26,Amount of money,intermediate,derived,Amount of money,Amount of money,-,,
common__join26,quantity 1,intermediate,direct,quantity 1,quantity 1,-,,
common__join26,Amount 1,intermediate,direct,Amount 1,Amount 1,-,,
common__join26,quantity 2,intermediate,direct,quantity 2,quantity 2,-,,
common__join26,Amount 2,intermediate,direct,Amount 2,Amount 2,-,,
common__join26,quantity 3,intermediate,direct,quantity 3,quantity 3,-,,
common__join26,Amount 3,intermediate,direct,Amount 3,Amount 3,-,,
common__join26,quantity 4,intermediate,direct,quantity 4,quantity 4,-,,
common__join26,Amount 4,intermediate,direct,Amount 4,Amount 4,-,,
common__join26,quantity 5,intermediate,direct,quantity 5,quantity 5,-,,
common__join26,Amount 5,intermediate,direct,Amount 5,Amount 5,-,,
common__join26,gross profit,intermediate,derived,gross profit,gross profit,-,,
common__join26,Gross profit 1,intermediate,derived,Gross profit 1,Gross profit 1,-,,
common__join26,gross profit 2,intermediate,derived,gross profit 2,gross profit 2,-,,
common__join26,gross profit 3,intermediate,derived,gross profit 3,gross profit 3,-,,
common__join26,Gross profit 4,intermediate,derived,Gross profit 4,Gross profit 4,-,,
common__join26,gross profit 5,intermediate,derived,gross profit 5,gross profit 5,-,,
table_27,classification,intermediate,join,classification,classification,-,,
table_27,Property flag,intermediate,derived,Property flag,Property flag,-,,
table_27,department code,intermediate,derived,department code,department code,-,,
table_27,"Mid( department code ,3,1) as channel code",intermediate,derived,"Mid( department code ,3,1) as channel code","SUBSTR(department code, 3, 1) as channel code",-,,
table_27,branch code,intermediate,derived,branch code,branch code,-,,
table_27,management,intermediate,join,management,management,-,,
table_27,quantity as budget number,intermediate,derived,quantity as budget number,quantity as budget number,-,,
table_27,Amount *1000 asbudget,intermediate,derived,Amount *1000 asbudget,Amount *1000 asbudget,-,,
table_27,_ Gross profit *1000 asgross profit budget,intermediate,derived,_ Gross profit *1000 asgross profit budget,_ Gross profit *1000 asgross profit budget,-,,
table_27,Year,intermediate,join,Year,Year,-,,
table_27,"20'&if(Right( year ,1)='A',left( year ,2)&'-04',left( year ,2)&'-10') as year and month",intermediate,derived,"'20'&if(Right( year ,1)='A',left( year ,2)&'-04',left( year ,2)&'-10') as year and month","'20' || CASE WHEN RIGHT(year, 1)='A' THEN LEFT(year, 2) || '-04' ELSE LEFT(year, 2) || '-10' END as year and month",-,,
table_27__join28,classification,intermediate,join,classification,classification,-,,
table_27__join28,Property flag,intermediate,derived,Property flag,Property flag,-,,
table_27__join28,department code,intermediate,derived,department code,department code,-,,
table_27__join28,"Mid( department code ,3,1) as channel code",intermediate,derived,"Mid( department code ,3,1) as channel code","SUBSTR(department code, 3, 1) as channel code",-,,
table_27__join28,branch code,intermediate,derived,branch code,branch code,-,,
table_27__join28,management,intermediate,join,management,management,-,,
table_27__join28,quantity 1 as budget number,intermediate,derived,quantity 1 as budget number,quantity 1 as budget number,-,,
table_27__join28,budget,intermediate,derived,Amount 1*1000,Amount 1*1000,-,,
table_27__join28,_ Gross profit 1*1000 as gross profit budget,intermediate,derived,_ Gross profit 1*1000 as gross profit budget,_ Gross profit 1*1000 as gross profit budget,-,,
table_27__join28,Year,intermediate,join,Year,Year,-,,
table_27__join28,"20'&if(Right( year ,1)='A',left( year ,2)&'-05',left( year ,2)&'-11') as year and month",intermediate,derived,"'20'&if(Right( year ,1)='A',left( year ,2)&'-05',left( year ,2)&'-11') as year and month","'20' || CASE WHEN RIGHT(year, 1)='A' THEN LEFT(year, 2) || '-05' ELSE LEFT(year, 2) || '-11' END as year and month",-,,
table_27__join28__join29,classification,intermediate,direct,classification,classification,-,,
table_27__join28__join29,Property flag,intermediate,derived,Property flag,Property flag,-,,
table_27__join28__join29,department code,intermediate,derived,department code,department code,-,,
table_27__join28__join29,"Mid( department code ,3,1) as channel code",intermediate,derived,"Mid( department code ,3,1) as channel code","SUBSTR(department code, 3, 1) as channel code",-,,
table_27__join28__join29,branch code,intermediate,derived,branch code,branch code,-,,
table_27__join28__join29,management,intermediate,direct,management,management,-,,
table_27__join28__join29,quantity 2 as budget number,intermediate,derived,quantity 2 as budget number,quantity 2 as budget number,-,,
table_27__join28__join29,budget,intermediate,derived,Amount 2*1000,Amount 2*1000,-,,
table_27__join28__join29,_ Gross profit 2*1000 as gross profit budget,intermediate,derived,_ Gross profit 2*1000 as gross profit budget,_ Gross profit 2*1000 as gross profit budget,-,,
table_27__join28__join29,Year,intermediate,direct,Year,Year,-,,
table_27__join28__join29,"20'&if(Right( year ,1)='A',left( year ,2)&'-06',left( year ,2)&'-12') as year and month",intermediate,derived,"'20'&if(Right( year ,1)='A',left( year ,2)&'-06',left( year ,2)&'-12') as year and month","'20' || CASE WHEN RIGHT(year, 1)='A' THEN LEFT(year, 2) || '-06' ELSE LEFT(year, 2) || '-12' END as year and month",-,,
common psi meisai__join30,classification,intermediate,direct,classification,classification,-,,
common psi meisai__join30,Property flag,intermediate,derived,Property flag,Property flag,-,,
common psi meisai__join30,department code,intermediate,derived,department code,department code,-,,
common psi meisai__join30,"Mid( department code ,3,1) as channel code",intermediate,derived,"Mid( department code ,3,1) as channel code","SUBSTR(department code, 3, 1) as channel code",-,,
common psi meisai__join30,branch code,intermediate,derived,branch code,branch code,-,,
common psi meisai__join30,management,intermediate,direct,management,management,-,,
common psi meisai__join30,quantity 3 as budget number,intermediate,derived,quantity 3 as budget number,quantity 3 as budget number,-,,
common psi meisai__join30,budget,intermediate,derived,Amount 3*1000,Amount 3*1000,-,,
common psi meisai__join30,_ Gross profit 3*1000 as gross profit budget,intermediate,derived,_ Gross profit 3*1000 as gross profit budget,_ Gross profit 3*1000 as gross profit budget,-,,
common psi meisai__join30,Year,intermediate,direct,Year,Year,-,,
common psi meisai__join30,"20'&if(Right( year ,1)='A',left( year ,2)&'-07',num(left( year ,2))+1&'-01') as year and month",intermediate,derived,"'20'&if(Right( year ,1)='A',left( year ,2)&'-07',num(left( year ,2))+1&'-01') as year and month","'20' || CASE WHEN RIGHT(year, 1)='A' THEN LEFT(year, 2) || '-07' ELSE TO_NUMBER(LEFT(year, 2))+1 || '-01' END as year and month",-,,
common__join31,classification,intermediate,direct,classification,classification,-,,
common__join31,Property flag,intermediate,derived,Property flag,Property flag,-,,
common__join31,department code,intermediate,derived,department code,department code,-,,
common__join31,"Mid( department code ,3,1) as channel code",intermediate,derived,"Mid( department code ,3,1) as channel code","SUBSTR(department code, 3, 1) as channel code",-,,
common__join31,branch code,intermediate,derived,branch code,branch code,-,,
common__join31,management,intermediate,direct,management,management,-,,
common__join31,quantity 4 as budget number,intermediate,derived,quantity 4 as budget number,quantity 4 as budget number,-,,
common__join31,budget,intermediate,derived,Amount 4*1000,Amount 4*1000,-,,
common__join31,_ Gross profit 4*1000 as gross profit budget,intermediate,derived,_ Gross profit 4*1000 as gross profit budget,_ Gross profit 4*1000 as gross profit budget,-,,
common__join31,Year,intermediate,direct,Year,Year,-,,
common__join31,"20'&if(Right( year ,1)='A',left( year ,2)&'-08',num(left( year ,2))+1&'-02') as year and month",intermediate,derived,"'20'&if(Right( year ,1)='A',left( year ,2)&'-08',num(left( year ,2))+1&'-02') as year and month","'20' || CASE WHEN RIGHT(year, 1)='A' THEN LEFT(year, 2) || '-08' ELSE TO_NUMBER(LEFT(year, 2))+1 || '-02' END as year and month",-,,
common__join32,classification,intermediate,direct,classification,classification,-,,
common__join32,Property flag,intermediate,derived,Property flag,Property flag,-,,
common__join32,department code,intermediate,derived,department code,department code,-,,
common__join32,"Mid( department code ,3,1) as channel code",intermediate,derived,"Mid( department code ,3,1) as channel code","SUBSTR(department code, 3, 1) as channel code",-,,
common__join32,branch code,intermediate,derived,branch code,branch code,-,,
common__join32,management,intermediate,direct,management,management,-,,
common__join32,quantity 5 as budget number,intermediate,derived,quantity 5 as budget number,quantity 5 as budget number,-,,
common__join32,budget,intermediate,derived,Amount 5*1000,Amount 5*1000,-,,
common__join32,_ Gross profit 5*1000 as gross profit budget,intermediate,derived,_ Gross profit 5*1000 as gross profit budget,_ Gross profit 5*1000 as gross profit budget,-,,
common__join32,Year,intermediate,direct,Year,Year,-,,
common__join32,"20'&if(Right( year ,1)='A',left( year ,2)&'-09',num(left( year ,2))+1&'-03') as year and month",intermediate,derived,"'20'&if(Right( year ,1)='A',left( year ,2)&'-09',num(left( year ,2))+1&'-03') as year and month","'20' || CASE WHEN RIGHT(year, 1)='A' THEN LEFT(year, 2) || '-09' ELSE TO_NUMBER(LEFT(year, 2))+1 || '-03' END as year and month",-,,
BUD_LOAD_TEMP2__join33,management,intermediate,direct,management,management,"unknown_source.Management, unknown_source.product, unknown_source.classification",,
BUD_LOAD_TEMP2__join33,Product category name,intermediate,derived,Product category name,Product category name,"unknown_source.Product, unknown_source.category, unknown_source.name",,
BUD_LOAD_TEMP2__join33,Product classification name,intermediate,derived,Product classification name,Product classification name,"unknown_source.Product, unknown_source.classification, unknown_source.name",,
BUD_LOAD_TEMP2__join34,Year,intermediate,direct,Year,Year,-,,
BUD_LOAD_TEMP2__join34,branch code,intermediate,derived,branch code,branch code,-,,
BUD_LOAD_TEMP2__join34,Branch name,intermediate,derived,Branch name,Branch name,-,,
BUD_LOAD_TEMP2__join34,Business department,intermediate,derived,Business department,Business department,-,,
BUD_LOAD_TEMP2__join35,Year,intermediate,direct,Year,Year,-,,
BUD_LOAD_TEMP2__join35,channel code,intermediate,derived,channel code,channel code,-,,
BUD_LOAD_TEMP2__join35,channel,intermediate,direct,channel,channel,-,,
ACT_LOAD__join36,*,intermediate,constant,*,*,-,,
ACT_LOAD__join36,C_NO,intermediate,constant,'01','01',-,,
ACT_LOAD__join36,month,intermediate,derived,"Num(Right( year month , 2))","TO_NUMBER(RIGHT(year month, 2))",-,,
ACT_LOAD__join36,year,intermediate,derived,"if(Right( year/month ,2)>='04' ,Left( Year/Month ,4) ,Num(Left( year/month ,4))-1 )","CASE WHEN RIGHT(year/month, 2)>='04' THEN LEFT(Year/Month, 4) ELSE TO_NUMBER(LEFT(year/month, 4))-1 END",-,,
ACT_LOAD__join36,period,intermediate,derived,"if(Right( year/month ,2)>='04' and Right( year/month ,2)<='09' ,'A' ,'B' )","CASE WHEN RIGHT(year/month, 2)>='04' and RIGHT(year/month, 2)<='09' THEN 'A' ELSE 'B' END",-,,
ACT_LOAD__join36,quarter,intermediate,derived,"if(Right( year/month ,2)>='04' and Right( year/month ,2)<='09' ,if(Right( year/month ,2)<='06' ,'Q1' ,'Q2' ) ,if(Right( year/month ,2)>='10' ,'Q3' ,'Q4' ) )","CASE WHEN RIGHT(year/month, 2)>='04' and RIGHT(year/month, 2)<='09' THEN CASE WHEN RIGHT(year/month, 2)<='06' THEN 'Q1' ELSE 'Q2' END ELSE CASE WHEN RIGHT(year/month, 2)>='10' THEN 'Q3' ELSE 'Q4' END END",-,,
ACT_LOAD__join36,"Left( year , month , 4) as CY year",intermediate,derived,"Left( year , month , 4) as CY year","LEFT(year, month) as CY year",-,Yes,Function 'Left()' received 3 args but mapping uses 2 - extra arguments dropped; review.
ACT_LOAD__join36,"if(Right( year/month ,2)<='06' ,'A' ,'B' ) as CY period",intermediate,derived,"if(Right( year/month ,2)<='06' ,'A' ,'B' ) as CY period","CASE WHEN RIGHT(year/month, 2)<='06' THEN 'A' ELSE 'B' END as CY period",-,,
ACT_LOAD__join36,"if(Right( year/month ,2)<='03' ,'Q1' ,if(Right( year/month ,2)<='06' ,'Q2' ,if(Right( year/month ,2)<='09' ,'Q3' ,'Q4' ) ) ) as CY quarter",intermediate,derived,"if(Right( year/month ,2)<='03' ,'Q1' ,if(Right( year/month ,2)<='06' ,'Q2' ,if(Right( year/month ,2)<='09' ,'Q3' ,'Q4' ) ) ) as CY quarter","CASE WHEN RIGHT(year/month, 2)<='03' THEN 'Q1' ELSE CASE WHEN RIGHT(year/month, 2)<='06' THEN 'Q2' ELSE CASE WHEN RIGHT(year/month, 2)<='09' THEN 'Q3' ELSE 'Q4' END END END as CY quarter",-,,
ACT_LOAD__join36,"Left( year , month , 4)&'/'&right( year, month , 2)&'/01' as date of occurrence",intermediate,derived,"Left( year , month , 4)&'/'&right( year, month , 2)&'/01' as date of occurrence","LEFT(year, month) || '/' || RIGHT(year, month) || '/01' as date of occurrence",-,Yes,Function 'Left()' received 3 args but mapping uses 2 - extra arguments dropped; review.; Function 'right()' received 3 args but mapping uses 2 - extra arguments dropped; review.
ACT_LOAD__join36,"if(Right( year/month ,2)>='04',Left( year/month ,4),Num(Left( year/month ,4))-1) & if(Right( year/month ,2)>='04' and Right( year/month ,2)<='09','A','B') & Department code as concatenated key 2",intermediate,derived,"if(Right( year/month ,2)>='04',Left( year/month ,4),Num(Left( year/month ,4))-1) & if(Right( year/month ,2)>='04' and Right( year/month ,2)<='09','A','B') & Department code as concatenated key 2","CASE WHEN RIGHT(year/month, 2)>='04' THEN LEFT(year/month, 4) ELSE TO_NUMBER(LEFT(year/month, 4))-1 END || CASE WHEN RIGHT(year/month, 2)>='04' and RIGHT(year/month, 2)<='09' THEN 'A' ELSE 'B' END || Department code as concatenated key 2",-,,
table_37,"MaxString(left(date( occurrence date_SOURCE,'YYYY/MM/DD'),10)) as latest occurrence date ResidentIDO_SOURCE_ALL",intermediate,derived,"MaxString(left(date( occurrence date_SOURCE,'YYYY/MM/DD'),10)) as latest occurrence date ResidentIDO_SOURCE_ALL","/* TODO review */ MaxString(LEFT(TO_DATE(occurrence date_SOURCE, 'YYYY/MM/DD'), 10)) as latest occurrence date ResidentIDO_SOURCE_ALL",-,Yes,Function 'MaxString()' not in mapping - emitted verbatim; verify Snowflake compatibility.
BUKKEN,dummy,intermediate,constant,'x','x',-,,
BUKKEN,Property No. data partition,intermediate,derived,Property No. data partition,Property No. data partition,-,,
BUKKEN,"if( data classification NO=2, if( actual cost amount >0,'9', data classification NO), Data classification NO. ) as data classification NO",intermediate,derived,"if( data classification NO=2, if( actual cost amount >0,'9', data classification NO), Data classification NO. ) as data classification NO",CASE WHEN data classification NO=2 THEN CASE WHEN actual cost amount >0 THEN '9' ELSE data classification NO END ELSE Data classification NO. END as data classification NO,-,,
BUKKEN,"Replace( matter status ,' ','') as matter status",intermediate,derived,"Replace( matter status ,' ','') as matter status","REPLACE(matter status, ' ', '') as matter status",-,,
BUKKEN,Main contractor/subcontractor classification,intermediate,derived,Main contractor/subcontractor classification,Main contractor/subcontractor classification,-,,
BUKKEN,Industrial waste treatment classification,intermediate,derived,Industrial waste treatment classification,Industrial waste treatment classification,-,,
BUKKEN,"if(JOB classification ORG=' equipment + construction ','0', if(JOB classification ORG=' Construction only ','1','2') ) as JOB classification NO",intermediate,derived,"if(JOB classification ORG=' equipment + construction ','0', if(JOB classification ORG=' Construction only ','1','2') ) as JOB classification NO",CASE WHEN JOB classification ORG=' equipment + construction ' THEN '0' ELSE CASE WHEN JOB classification ORG=' Construction only ' THEN '1' ELSE '2' END END as JOB classification NO,-,,
BUKKEN,"if(JOB classification ORG=' Equipment + Construction ', '0: Equipment + Construction ', if(JOB classification ORG=' Construction only ','1: Construction only ','2: Equipment only ') ) as JOB classification",intermediate,derived,"if(JOB classification ORG=' Equipment + Construction ', '0: Equipment + Construction ', if(JOB classification ORG=' Construction only ','1: Construction only ','2: Equipment only ') ) as JOB classification",CASE WHEN JOB classification ORG=' Equipment + Construction ' THEN '0: Equipment + Construction ' ELSE CASE WHEN JOB classification ORG=' Construction only ' THEN '1: Construction only ' ELSE '2: Equipment only ' END END as JOB classification,-,,
BUKKEN,Property ID,intermediate,derived,Property ID,Property ID,-,,
BUKKEN,Property Name,intermediate,derived,Property Name,Property Name,-,,
BUKKEN,Initial order amount,intermediate,derived,Initial order amount,Initial order amount,-,,
BUKKEN,Initial cost amount,intermediate,derived,Initial cost amount,Initial cost amount,-,,
BUKKEN,Initial gross profit amount,intermediate,derived,Initial gross profit amount,Initial gross profit amount,-,,
BUKKEN,Change order amount,intermediate,derived,Change order amount,Change order amount,-,,
BUKKEN,change cost amount,intermediate,derived,change cost amount,change cost amount,-,,
BUKKEN,Changed gross profit amount,intermediate,derived,Changed gross profit amount,Changed gross profit amount,-,,
BUKKEN,"if( change order amount >0, change order amount , original order amount ) as change order amount 2",intermediate,derived,"if( change order amount >0, change order amount , original order amount ) as change order amount 2",CASE WHEN change order amount >0 THEN change order amount ELSE original order amount END as change order amount 2,-,,
BUKKEN,"if( changed cost amount >0, changed cost amount , original cost amount ) aschanged cost amount2",intermediate,derived,"if( changed cost amount >0, changed cost amount , original cost amount ) aschanged cost amount2",CASE WHEN changed cost amount >0 THEN changed cost amount ELSE original cost amount END aschanged cost amount2,-,,
BUKKEN,"if( changed gross profit amount >0, changed gross profit amount , original gross profit amount ) as changed gross profit amount 2",intermediate,derived,"if( changed gross profit amount >0, changed gross profit amount , original gross profit amount ) as changed gross profit amount 2",CASE WHEN changed gross profit amount >0 THEN changed gross profit amount ELSE original gross profit amount END as changed gross profit amount 2,-,,
BUKKEN,Actual sales amount,intermediate,derived,Actual sales amount,Actual sales amount,-,,
BUKKEN,Actual cost amount,intermediate,derived,Actual cost amount,Actual cost amount,-,,
BUKKEN,Actual sales amount - Actual cost amount as Actual gross profit amount,intermediate,derived,Actual sales amount - Actual cost amount as Actual gross profit amount,Actual sales amount - Actual cost amount as Actual gross profit amount,-,,
BUKKEN,"Actual cost amount /if( changed cost amount > 0, changed cost amount , original cost amount ) as cost injection rate",intermediate,derived,"Actual cost amount /if( changed cost amount > 0, changed cost amount , original cost amount ) as cost injection rate",Actual cost amount /CASE WHEN changed cost amount > 0 THEN changed cost amount ELSE original cost amount END as cost injection rate,-,,
BUKKEN,FD name,intermediate,derived,FD name,FD name,-,,
BUKKEN,FD,intermediate,derived,"left(FD name ,3)","LEFT(FD name, 3)",-,,
BUKKEN,department code,intermediate,derived,department code,department code,-,,
BUKKEN,"left( department code , 2) as branch code",intermediate,derived,"left( department code , 2) as branch code","LEFT(department code, 2) as branch code",-,,
BUKKEN,"mid( department code ,3,1) as channel code",intermediate,derived,"mid( department code ,3,1) as channel code","SUBSTR(department code, 3, 1) as channel code",-,,
BUKKEN,manager,intermediate,direct,manager,manager,-,,
BUKKEN,"if(len(replace(replace( construction engineer name ,' ',''),' ',''))=0, '$(varC_GIJUTSU_NULL)', replace(replace( construction engineer name ,' ',''),' ','') ) as construction engineer name",intermediate,derived,"if(len(replace(replace( construction engineer name ,' ',''),' ',''))=0, '$(varC_GIJUTSU_NULL)', replace(replace( construction engineer name ,' ',''),' ','') ) as construction engineer name","CASE WHEN LENGTH(REPLACE(REPLACE(construction engineer name, ' ', ''), ' ', ''))=0 THEN '$(varC_GIJUTSU_NULL)' ELSE REPLACE(REPLACE(construction engineer name, ' ', ''), ' ', '') END as construction engineer name",-,,
BUKKEN,Scheduled construction start date,intermediate,derived,Scheduled construction start date,Scheduled construction start date,-,,
BUKKEN,Expected completion date,intermediate,derived,Expected completion date,Expected completion date,-,,
BUKKEN,Construction start date,intermediate,derived,Construction start date,Construction start date,-,,
BUKKEN,"if(if( changed order amount >0, changed order amount , original order amount )<35000000, 0, 1 ) as order classification",intermediate,derived,"if(if( changed order amount >0, changed order amount , original order amount )<35000000, 0, 1 ) as order classification",CASE WHEN CASE WHEN changed order amount >0 THEN changed order amount ELSE original order amount END<35000000 THEN 0 ELSE 1 END as order classification,-,,
BUKKEN,Specialty,intermediate,direct,Specialty,Specialty,-,,
BUKKEN,specialty name,intermediate,derived,specialty name,specialty name,-,,
BUKKEN,Expected sales month,intermediate,derived,Expected sales month,Expected sales month,-,,
BUKKEN,"mid( estimated sales month , 3,2) & mid( estimated sales month , 6,2) as expected sales month 4 digits",intermediate,derived,"mid( estimated sales month , 3,2) & mid( estimated sales month , 6,2) as expected sales month 4 digits","SUBSTR(estimated sales month, 3, 2) || SUBSTR(estimated sales month, 6, 2) as expected sales month 4 digits",-,,
BUKKEN,"left( sales forecast month , 4) as sales forecast actual year",intermediate,derived,"left( sales forecast month , 4) as sales forecast actual year","LEFT(sales forecast month, 4) as sales forecast actual year",-,,
BUKKEN,"if(mid( estimated sales month ,6,2)<4, left( estimated sales month , 4)-1, left( estimated sales month , 4) ) as sales forecast year",intermediate,derived,"if(mid( estimated sales month ,6,2)<4, left( estimated sales month , 4)-1, left( estimated sales month , 4) ) as sales forecast year","CASE WHEN SUBSTR(estimated sales month, 6, 2)<4 THEN LEFT(estimated sales month, 4)-1 ELSE LEFT(estimated sales month, 4) END as sales forecast year",-,,
BUKKEN,"if(mid( sales schedule month ,6,2)>='04' and mid( sales schedule month ,6,2)<='09' ,'A' ,'B' ) as sales forecast half year",intermediate,derived,"if(mid( sales schedule month ,6,2)>='04' and mid( sales schedule month ,6,2)<='09' ,'A' ,'B' ) as sales forecast half year","CASE WHEN SUBSTR(sales schedule month, 6, 2)>='04' and SUBSTR(sales schedule month, 6, 2)<='09' THEN 'A' ELSE 'B' END as sales forecast half year",-,,
BUKKEN,"if(mid( sales schedule month ,6,2)>='04' and mid( sales schedule month ,6,2)<='09' ,if(mid( planned sales month ,6,2)<='06' ,'Q1' ,'Q2' ) ,if(mid( planned sales month ,6,2)>='10' ,'Q3' ,'Q4' ) ) as expected sales quarter",intermediate,derived,"if(mid( sales schedule month ,6,2)>='04' and mid( sales schedule month ,6,2)<='09' ,if(mid( planned sales month ,6,2)<='06' ,'Q1' ,'Q2' ) ,if(mid( planned sales month ,6,2)>='10' ,'Q3' ,'Q4' ) ) as expected sales quarter","CASE WHEN SUBSTR(sales schedule month, 6, 2)>='04' and SUBSTR(sales schedule month, 6, 2)<='09' THEN CASE WHEN SUBSTR(planned sales month, 6, 2)<='06' THEN 'Q1' ELSE 'Q2' END ELSE CASE WHEN SUBSTR(planned sales month, 6, 2)>='10' THEN 'Q3' ELSE 'Q4' END END as expected sales quarter",-,,
BUKKEN,Sales recording date,intermediate,derived,Sales recording date,Sales recording date,-,,
BUKKEN,"left(date( sales recording date ,'YYYY/MM/DD'),7) as sales recording date",intermediate,derived,"left(date( sales recording date ,'YYYY/MM/DD'),7) as sales recording date","LEFT(TO_DATE(sales recording date, 'YYYY/MM/DD'), 7) as sales recording date",-,,
BUKKEN,Sales registration date,intermediate,derived,Sales registration date,Sales registration date,-,,
BUKKEN,Property information registration date,intermediate,derived,Property information registration date,Property information registration date,-,,
BUKKEN,"left ( property information registration date , 7) as property information registration date",intermediate,derived,"left ( property information registration date , 7) as property information registration date","LEFT(property information registration date, 7) as property information registration date",-,,
BUKKEN,Old property NO. Cost injection rate 2,intermediate,derived,Old property NO. Cost injection rate 2,Old property NO. Cost injection rate 2,-,,
BUKKEN,Standard gross profit rate,intermediate,derived,Standard gross profit rate,Standard gross profit rate,-,,
BUKKEN,Main department/section name,intermediate,derived,Main department/section name,Main department/section name,-,,
BUKKEN,Public and private demand classification,intermediate,derived,Public and private demand classification,Public and private demand classification,-,,
BUKKEN,Delivery name,intermediate,derived,Delivery name,Delivery name,-,,
BUKKEN,Prefecture & property location as delivery address,intermediate,derived,Prefecture & property location as delivery address,Prefecture || property location as delivery address,-,,
BUKKEN,Scheduled completion date,intermediate,derived,Scheduled completion date,Scheduled completion date,-,,
